2023-12-28 13:09:15 INFO  LandingPage:1832 - Width for MATERIAL DESCRIPTION input field was SUCCESSFULLY changed.
2023-12-28 13:09:15 INFO  LandingPage:1846 - MATERIAL DESCRIPTION input field was unselected in the FIXED column BY DEFAULT.
2023-12-28 13:09:16 INFO  LandingPage:1864 - The 'Quantity' WIDTH field (on 'PERSONALIZATION' popup) was clicked for editing.
2023-12-28 13:09:16 INFO  Waitings:240 - TOTAL TIME that 'Quantity' WIDTH field page was loading: 0.014 seconds.
2023-12-28 13:09:16 INFO  LandingPage:1875 - Width for QUANTITY input field was SUCCESSFULLY changed.
2023-12-28 13:09:16 INFO  LandingPage:1889 - QUANTITY input field was unselected in the FIXED column BY DEFAULT.
2023-12-28 13:09:17 INFO  LandingPage:1908 - The 'Base Unit of Measure' WIDTH field (on 'PERSONALIZATION' popup) was clicked for editing.
2023-12-28 13:09:17 INFO  Waitings:240 - TOTAL TIME that 'Base Unit of Measure' WIDTH field page was loading: 0.015 seconds.
2023-12-28 13:09:17 INFO  LandingPage:1919 - Width for BASE UNIT OF MEASURE input field was SUCCESSFULLY changed.
2023-12-28 13:09:17 INFO  LandingPage:1933 - BASE UNIT OF MEASURE input field was unselected in the FIXED column BY DEFAULT.
2023-12-28 13:09:18 INFO  LandingPage:1951 - The 'Plant' WIDTH field (on 'PERSONALIZATION' popup) was clicked for editing.
2023-12-28 13:09:18 INFO  Waitings:240 - TOTAL TIME that 'Plant' WIDTH field page was loading: 0.015 seconds.
2023-12-28 13:09:18 INFO  LandingPage:1962 - Width for PLANT input field was SUCCESSFULLY changed.
2023-12-28 13:09:18 INFO  LandingPage:1976 - PLANT input field was unselected in the FIXED column BY DEFAULT.
2023-12-28 13:09:19 INFO  LandingPage:1993 - The 'Storage location' WIDTH field (on 'PERSONALIZATION' popup) was clicked for editing.
2023-12-28 13:09:19 INFO  Waitings:240 - TOTAL TIME that 'Storage location' WIDTH field page was loading: 0.016 seconds.
2023-12-28 13:09:19 INFO  LandingPage:2004 - Width for STORAGE LOCATION input field was SUCCESSFULLY changed.
2023-12-28 13:09:19 INFO  LandingPage:2018 - STORAGE LOCATION input field was unselected in the FIXED column BY DEFAULT.
2023-12-28 13:09:20 INFO  LandingPage:2036 - The 'Valuation Type' WIDTH field (on 'PERSONALIZATION' popup) was clicked for editing.
2023-12-28 13:09:20 INFO  Waitings:240 - TOTAL TIME that 'Valuation Type' WIDTH field page was loading: 0.015 seconds.
2023-12-28 13:09:20 INFO  LandingPage:2047 - Width for VALUATION TYPE input field was SUCCESSFULLY changed.
2023-12-28 13:09:20 INFO  LandingPage:2061 - VALUATION TYPE input field was unselected in the FIXED column BY DEFAULT.
2023-12-28 13:09:21 INFO  LandingPage:2079 - The 'Handling Type' WIDTH field (on 'PERSONALIZATION' popup) was clicked for editing.
2023-12-28 13:09:21 INFO  Waitings:240 - TOTAL TIME that 'Handling Type' WIDTH field page was loading: 0.021 seconds.
2023-12-28 13:09:21 INFO  LandingPage:2090 - Width for HANDLING TYPE input field was SUCCESSFULLY changed.
2023-12-28 13:09:21 INFO  LandingPage:2104 - HANDLING TYPE input field was unselected in the FIXED column BY DEFAULT.
2023-12-28 13:09:22 INFO  LandingPage:2122 - The 'Posting Date' WIDTH field (on 'PERSONALIZATION' popup) was clicked for editing.
2023-12-28 13:09:22 INFO  Waitings:240 - TOTAL TIME that 'Posting Date' WIDTH field page was loading: 0.015 seconds.
2023-12-28 13:09:22 INFO  LandingPage:2133 - Width for POSTING DATE input field was SUCCESSFULLY changed.
2023-12-28 13:09:22 INFO  LandingPage:2147 - POSTING DATE input field was unselected in the FIXED column BY DEFAULT.
2023-12-28 13:09:23 INFO  LandingPage:2165 - The 'Tank number' WIDTH field (on 'PERSONALIZATION' popup) was clicked for editing.
2023-12-28 13:09:23 INFO  Waitings:240 - TOTAL TIME that 'Tank number' WIDTH field page was loading: 0.016 seconds.
2023-12-28 13:09:23 INFO  LandingPage:2176 - Width for TANK NUMBER input field was SUCCESSFULLY changed.
2023-12-28 13:09:23 INFO  LandingPage:2189 - TANK NUMBER input field was unselected in the FIXED column BY DEFAULT.
2023-12-28 13:09:24 INFO  LandingPage:2207 - The 'Partner Function' WIDTH field (on 'PERSONALIZATION' popup) was clicked for editing.
2023-12-28 13:09:24 INFO  Waitings:240 - TOTAL TIME that 'Partner Function' WIDTH field page was loading: 0.015 seconds.
2023-12-28 13:09:24 INFO  LandingPage:2218 - Width for PARTNER FUNCTION input field was SUCCESSFULLY changed.
2023-12-28 13:09:24 INFO  LandingPage:2232 - PARTNER FUNCTION input field was unselected in the FIXED column BY DEFAULT.
2023-12-28 13:09:25 INFO  LandingPage:2250 - The 'Partners' WIDTH field (on 'PERSONALIZATION' popup) was clicked for editing.
2023-12-28 13:09:25 INFO  Waitings:240 - TOTAL TIME that 'Partners' WIDTH field page was loading: 0.014 seconds.
2023-12-28 13:09:25 INFO  LandingPage:2262 - Width for PARTNERS input field was SUCCESSFULLY changed.
2023-12-28 13:09:25 INFO  LandingPage:2276 - PARTNERS input field was unselected in the FIXED column BY DEFAULT.
2023-12-28 13:09:26 INFO  LandingPage:2294 - The 'Net Price' WIDTH field (on 'PERSONALIZATION' popup) was clicked for editing.
2023-12-28 13:09:26 INFO  Waitings:240 - TOTAL TIME that 'Net Price' WIDTH field page was loading: 0.015 seconds.
2023-12-28 13:09:26 INFO  LandingPage:2305 - Width for NET PRICE input field was SUCCESSFULLY changed.
2023-12-28 13:09:27 INFO  LandingPage:2319 - NET PRICE input field was unselected in the FIXED column BY DEFAULT.
2023-12-28 13:09:27 INFO  LandingPage:2337 - The 'Currency' WIDTH field (on 'PERSONALIZATION' popup) was clicked for editing.
2023-12-28 13:09:27 INFO  Waitings:240 - TOTAL TIME that 'Currency' WIDTH field page was loading: 0.016 seconds.
2023-12-28 13:09:27 INFO  LandingPage:2348 - Width for CURRENCY input field was SUCCESSFULLY changed.
2023-12-28 13:09:28 INFO  LandingPage:2362 - CURRENCY input field was unselected in the FIXED column BY DEFAULT.
2023-12-28 13:09:28 INFO  LandingPage:2380 - The 'Pricing Unit' WIDTH field (on 'PERSONALIZATION' popup) was clicked for editing.
2023-12-28 13:09:28 INFO  Waitings:240 - TOTAL TIME that 'Pricing Unit' WIDTH field page was loading: 0.016 seconds.
2023-12-28 13:09:29 INFO  LandingPage:2391 - Width for PRICING UNIT input field was SUCCESSFULLY changed.
2023-12-28 13:09:29 INFO  LandingPage:2405 - PRICING UNIT input field was unselected in the FIXED column BY DEFAULT.
2023-12-28 13:09:29 INFO  LandingPage:2423 - The 'Unit of Measure' WIDTH field (on 'PERSONALIZATION' popup) was clicked for editing.
2023-12-28 13:09:29 INFO  Waitings:240 - TOTAL TIME that 'Unit of Measure' WIDTH field page was loading: 0.016 seconds.
2023-12-28 13:09:30 INFO  LandingPage:2434 - Width for UNIT OF MEASURE input field was SUCCESSFULLY changed.
2023-12-28 13:09:30 INFO  LandingPage:2448 - UNIT OF MEASURE input field was unselected in the FIXED column BY DEFAULT.
2023-12-28 13:09:30 INFO  LandingPage:2466 - The 'Quantity in Percent' WIDTH field (on 'PERSONALIZATION' popup) was clicked for editing.
2023-12-28 13:09:30 INFO  Waitings:240 - TOTAL TIME that 'Quantity in Percent' WIDTH field page was loading: 0.015 seconds.
2023-12-28 13:09:31 INFO  LandingPage:2477 - Width for QUANTITY IN PERCENT input field was SUCCESSFULLY changed.
2023-12-28 13:09:31 INFO  LandingPage:2491 - QUANTITY IN PERCENT input field was unselected in the FIXED column BY DEFAULT.
2023-12-28 13:09:31 INFO  LandingPage:2509 - The 'Stock' WIDTH field (on 'PERSONALIZATION' popup) was clicked for editing.
2023-12-28 13:09:31 INFO  Waitings:240 - TOTAL TIME that 'Stock' WIDTH field page was loading: 0.015 seconds.
